day,hits,views,bandwidth
2022-07-19,61,58,6387027
2022-07-20,50,48,2077438
2022-07-21,68,68,5072147
2022-07-22,50,48,2291017
2022-07-23,55,53,7570461
2022-07-24,37,35,3040292
2022-07-25,224,217,61932189
2022-07-26,14,14,946747
2022-07-27,27,25,962358
2022-07-28,123,89,13581306
2022-07-29,56,55,6663000
2022-07-30,34,33,1713001
2022-07-31,143,109,15870797
2022-08-01,44,43,6742452
2022-08-02,100,93,14415793
2022-08-03,165,153,11778717
2022-08-04,39,37,682187
2022-08-05,47,45,18062731
2022-08-06,83,75,55267793
2022-08-07,44,40,2058486
2022-08-08,36,36,826315
2022-08-09,43,40,1184997
2022-08-10,86,80,23816107
2022-08-11,56,51,225328
2022-08-12,286,278,24649512
2022-08-13,37,35,598302
2022-08-14,41,40,980238
2022-08-15,37,32,36520422
2022-08-16,41,38,859887
2022-08-17,40,37,1567911
2022-08-18,62,55,6648087
2022-08-19,30,30,1506814
2022-08-20,46,45,776784
2022-08-21,86,78,51956458
2022-08-22,76,75,94819037
2022-08-23,56,50,5756625
2022-08-24,58,54,1629341
2022-08-25,44,42,449780
2022-08-26,32,29,637744
2022-08-27,187,179,10156013
2022-08-28,49,45,658147
2022-08-29,83,79,6261513
2022-08-30,53,49,602331
2022-08-31,54,53,1427382
2022-09-01,89,85,2748724
2022-09-02,77,72,2687458
2022-09-03,93,86,51131051
2022-09-04,181,128,3895701
2022-09-05,80,72,39346414
2022-09-06,97,90,2689510
2022-09-07,74,67,6454290
2022-09-08,60,56,1590102
2022-09-09,55,49,4494081
2022-09-10,57,54,327029
2022-09-11,53,46,282939
2022-09-12,154,120,46623395
2022-09-13,61,60,8336235
2022-09-14,85,81,2551759
2022-09-15,80,70,1369441
2022-09-16,140,136,9369108
2022-09-17,49,46,1023488
2022-09-18,104,96,6693584
2022-09-19,57,53,1113487
2022-09-20,50,46,1715145
2022-09-21,59,52,5215126
2022-09-22,52,47,1000919
2022-09-23,51,47,1173471
2022-09-24,41,39,359296
2022-09-25,48,47,654525
2022-09-26,43,40,251181
2022-09-27,53,46,293209
2022-09-28,53,50,797870
2022-09-29,91,87,2831517
2022-09-30,208,204,10568035
2022-10-01,79,75,2421089
2022-10-02,70,67,955885
